"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"cbvshwq   ","P",01/02/2017 2:15,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.97,<0> ,0.5,<0> ,91.5,<0> ,11.1,<0> ,2.03,<0> ,1.91,<3> ,"",<-1> ,"","",7.2,<0> ,77,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 2:30,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,1.13,<0> ,0.6,<0> ,91.3,<0> ,11.1,<0> ,2.04,<0> ,1.92,<3> ,"",<-1> ,"","",7.2,<0> ,82,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 2:45,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,1.29,<0> ,0.7,<0> ,91.1,<0> ,11.0,<0> ,2.04,<0> ,1.92,<3> ,"",<-1> ,"","",7.2,<0> ,92,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 3:00,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,1.36,<0> ,0.7,<0> ,91.0,<0> ,11.0,<0> ,2.03,<0> ,1.91,<3> ,"",<-1> ,"","",7.2,<0> ,94,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 3:15,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,1.42,<0> ,0.7,<0> ,91.1,<0> ,11.0,<0> ,2.02,<0> ,1.90,<3> ,"",<-1> ,"","",7.2,<0> ,91,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 3:30,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.58,<0> ,0.8,<0> ,90.9,<0> ,11.0,<0> ,2.00,<0> ,1.88,<3> ,"",<-1> ,"","",7.2,<0> ,89,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 3:45,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.69,<0> ,0.9,<0> ,90.6,<0> ,11.0,<0> ,1.97,<0> ,1.85,<3> ,"",<-1> ,"","",7.2,<0> ,69,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 4:00,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.84,<0> ,0.9,<0> ,90.6,<0> ,10.9,<0> ,1.94,<0> ,1.82,<3> ,"",<-1> ,"","",7.2,<0> ,64,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 4:15,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.93,<0> ,1.0,<0> ,90.3,<0> ,10.9,<0> ,1.90,<0> ,1.78,<3> ,"",<-1> ,"","",7.2,<0> ,61,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 4:30,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.96,<0> ,1.0,<0> ,90.4,<0> ,10.9,<0> ,1.86,<0> ,1.74,<3> ,"",<-1> ,"","",7.2,<0> ,61,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 4:45,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.79,<0> ,0.9,<0> ,90.5,<0> ,10.9,<0> ,1.82,<0> ,1.70,<3> ,"",<-1> ,"","",7.2,<0> ,62,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 5:00,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.64,<0> ,0.8,<0> ,90.7,<0> ,11.0,<0> ,1.78,<0> ,1.67,<3> ,"",<-1> ,"","",7.2,<0> ,73,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 5:15,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,1.46,<0> ,0.7,<0> ,91.0,<0> ,11.0,<0> ,1.75,<0> ,1.64,<3> ,"",<-1> ,"","",7.2,<0> ,67,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 5:30,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,1.43,<0> ,0.7,<0> ,91.4,<0> ,11.1,<0> ,1.72,<0> ,1.61,<3> ,"",<-1> ,"","",7.2,<0> ,65,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 5:45,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.93,<0> ,0.5,<0> ,91.7,<0> ,11.1,<0> ,1.68,<0> ,1.57,<3> ,"",<-1> ,"","",7.2,<0> ,91,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 6:00,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.84,<0> ,0.4,<0> ,91.8,<0> ,11.2,<0> ,1.65,<0> ,1.54,<3> ,"",<-1> ,"","",7.2,<0> ,72,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 6:15,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.83,<0> ,0.4,<0> ,91.9,<0> ,11.2,<0> ,1.61,<0> ,1.50,<3> ,"",<-1> ,"","",7.2,<0> ,71,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 6:30,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.71,<0> ,0.4,<0> ,92.0,<0> ,11.2,<0> ,1.57,<0> ,1.46,<3> ,"",<-1> ,"","",7.2,<0> ,73,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 6:45,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.71,<0> ,0.4,<0> ,92.0,<0> ,11.2,<0> ,1.53,<0> ,1.42,<3> ,"",<-1> ,"","",7.2,<0> ,75,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 7:00,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.65,<0> ,0.3,<0> ,92.2,<0> ,11.2,<0> ,1.49,<0> ,1.38,<3> ,"",<-1> ,"","",7.2,<0> ,85,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 7:15,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.64,<0> ,0.3,<0> ,92.2,<0> ,11.2,<0> ,1.45,<0> ,1.34,<3> ,"",<-1> ,"","",7.2,<0> ,92,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 7:30,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.59,<0> ,0.3,<0> ,92.4,<0> ,11.3,<0> ,1.42,<0> ,1.31,<3> ,"",<-1> ,"","",7.2,<0> ,106,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 7:45,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.61,<0> ,0.3,<0> ,92.2,<0> ,11.2,<0> ,1.39,<0> ,1.28,<3> ,"",<-1> ,"","",7.2,<0> ,92,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 8:00,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.58,<0> ,0.3,<0> ,92.2,<0> ,11.2,<0> ,1.36,<0> ,1.25,<3> ,"",<-1> ,"","",7.2,<0> ,92,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 8:15,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.57,<0> ,0.3,<0> ,92.1,<0> ,11.2,<0> ,1.34,<0> ,1.23,<3> ,"",<-1> ,"","",7.2,<0> ,80,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 8:30,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.54,<0> ,0.3,<0> ,92.2,<0> ,11.2,<0> ,1.32,<0> ,1.20,<3> ,"",<-1> ,"","",7.2,<0> ,82,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 8:45,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.50,<0> ,0.2,<0> ,92.3,<0> ,11.2,<0> ,1.31,<0> ,1.19,<3> ,"",<-1> ,"","",7.2,<0> ,86,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 9:00,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.48,<0> ,0.2,<0> ,92.4,<0> ,11.3,<0> ,1.33,<0> ,1.21,<3> ,"",<-1> ,"","",7.2,<0> ,82,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 9:15,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.48,<0> ,0.2,<0> ,92.0,<0> ,11.2,<0> ,1.36,<0> ,1.25,<3> ,"",<-1> ,"","",7.2,<0> ,66,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 9:30,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.48,<0> ,0.2,<0> ,92.2,<0> ,11.2,<0> ,1.40,<0> ,1.29,<3> ,"",<-1> ,"","",7.2,<0> ,76,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 9:45,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.53,<0> ,0.3,<0> ,92.0,<0> ,11.2,<0> ,1.44,<0> ,1.33,<3> ,"",<-1> ,"","",7.2,<0> ,72,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 10:00,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.51,<0> ,0.3,<0> ,92.4,<0> ,11.3,<0> ,1.49,<0> ,1.38,<3> ,"",<-1> ,"","",7.2,<0> ,78,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 10:15,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.50,<0> ,0.2,<0> ,92.3,<0> ,11.2,<0> ,1.54,<0> ,1.43,<3> ,"",<-1> ,"","",7.2,<0> ,68,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 10:30,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.46,<0> ,0.2,<0> ,92.3,<0> ,11.2,<0> ,1.59,<0> ,1.48,<3> ,"",<-1> ,"","",7.2,<0> ,67,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 10:45,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.43,<0> ,0.2,<0> ,92.3,<0> ,11.3,<0> ,1.63,<0> ,1.52,<3> ,"",<-1> ,"","",7.2,<0> ,64,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 11:00,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.44,<0> ,0.2,<0> ,92.4,<0> ,11.3,<0> ,1.68,<0> ,1.58,<3> ,"",<-1> ,"","",7.2,<0> ,61,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 11:15,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.45,<0> ,0.2,<0> ,92.4,<0> ,11.3,<0> ,1.72,<0> ,1.62,<3> ,"",<-1> ,"","",7.2,<0> ,62,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 11:30,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.49,<0> ,0.2,<0> ,92.3,<0> ,11.2,<0> ,1.76,<0> ,1.66,<3> ,"",<-1> ,"","",7.2,<0> ,78,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 11:45,0,1,"{CRE} {CSM} {CWE}",6.8,<0> ,0.53,<0> ,0.3,<0> ,92.2,<0> ,11.2,<0> ,1.81,<0> ,1.71,<3> ,"",<-1> ,"","",7.2,<0> ,91,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 12:00,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.58,<0> ,0.3,<0> ,92.3,<0> ,11.2,<0> ,1.87,<0> ,1.77,<3> ,"",<-1> ,"","",7.2,<0> ,94,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 12:15,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.63,<0> ,0.3,<0> ,92.0,<0> ,11.2,<0> ,1.92,<0> ,1.83,<3> ,"",<-1> ,"","",7.2,<0> ,100,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 12:30,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.67,<0> ,0.3,<0> ,92.0,<0> ,11.2,<0> ,1.97,<0> ,1.88,<3> ,"",<-1> ,"","",7.2,<0> ,88,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 12:45,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.76,<0> ,0.4,<0> ,91.8,<0> ,11.2,<0> ,2.01,<0> ,1.93,<3> ,"",<-1> ,"","",7.2,<0> ,90,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 13:00,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.88,<0> ,0.4,<0> ,91.7,<0> ,11.1,<0> ,2.04,<0> ,1.96,<3> ,"",<-1> ,"","",7.2,<0> ,103,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 13:15,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.97,<0> ,0.5,<0> ,91.8,<0> ,11.1,<0> ,2.07,<0> ,1.99,<3> ,"",<-1> ,"","",7.2,<0> ,89,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 13:30,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.03,<0> ,0.5,<0> ,91.7,<0> ,11.1,<0> ,2.10,<0> ,2.02,<3> ,"",<-1> ,"","",7.2,<0> ,81,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 13:45,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.16,<0> ,0.6,<0> ,91.5,<0> ,11.1,<0> ,2.13,<0> ,2.05,<3> ,"",<-1> ,"","",7.2,<0> ,81,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 14:00,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.32,<0> ,0.7,<0> ,91.3,<0> ,11.0,<0> ,2.15,<0> ,2.08,<3> ,"",<-1> ,"","",7.2,<0> ,93,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 14:15,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.56,<0> ,0.8,<0> ,91.1,<0> ,11.0,<0> ,2.16,<0> ,2.09,<3> ,"",<-1> ,"","",7.2,<0> ,116,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 14:30,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,1.87,<0> ,1.0,<0> ,90.7,<0> ,10.9,<0> ,2.18,<0> ,2.11,<3> ,"",<-1> ,"","",7.2,<0> ,172,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 14:45,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,2.25,<0> ,1.2,<0> ,90.4,<0> ,10.9,<0> ,2.19,<0> ,2.12,<3> ,"",<-1> ,"","",7.2,<0> ,241,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 15:00,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,2.75,<0> ,1.4,<0> ,90.1,<0> ,10.8,<0> ,2.19,<0> ,2.11,<3> ,"",<-1> ,"","",7.2,<0> ,195,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 15:15,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,3.10,<0> ,1.6,<0> ,89.9,<0> ,10.8,<0> ,2.18,<0> ,2.10,<3> ,"",<-1> ,"","",7.2,<0> ,194,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 15:30,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,3.52,<0> ,1.9,<0> ,89.6,<0> ,10.7,<0> ,2.16,<0> ,2.08,<3> ,"",<-1> ,"","",7.2,<0> ,182,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 15:45,0,1,"{CRE} {CSM} {CWE}",7.2,<0> ,4.41,<0> ,2.4,<0> ,89.2,<0> ,10.6,<0> ,2.15,<0> ,2.08,<3> ,"",<-1> ,"","",7.2,<0> ,130,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 16:00,0,1,"{CRE} {CSM} {CWE}",7.2,<0> ,4.31,<0> ,2.3,<0> ,89.3,<0> ,10.6,<0> ,2.12,<0> ,2.05,<3> ,"",<-1> ,"","",7.2,<0> ,62,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 16:15,0,1,"{CRE} {CSM} {CWE}",7.2,<0> ,4.66,<0> ,2.5,<0> ,88.7,<0> ,10.6,<0> ,2.09,<0> ,2.01,<3> ,"",<-1> ,"","",7.2,<0> ,37,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 16:30,0,1,"{CRE} {CSM} {CWE}",7.2,<0> ,4.78,<0> ,2.6,<0> ,88.9,<0> ,10.6,<0> ,2.05,<0> ,1.97,<3> ,"",<-1> ,"","",7.2,<0> ,45,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 16:45,0,1,"{CRE} {CSM} {CWE}",7.2,<0> ,4.76,<0> ,2.6,<0> ,89.1,<0> ,10.6,<0> ,2.01,<0> ,1.93,<3> ,"",<-1> ,"","",7.2,<0> ,42,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 17:00,0,1,"{CRE} {CSM} {CWE}",7.2,<0> ,4.49,<0> ,2.4,<0> ,89.1,<0> ,10.6,<0> ,1.96,<0> ,1.88,<3> ,"",<-1> ,"","",7.2,<0> ,39,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 17:15,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,3.06,<0> ,1.6,<0> ,90.4,<0> ,10.8,<0> ,1.92,<0> ,1.84,<3> ,"",<-1> ,"","",7.2,<0> ,52,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 17:30,0,1,"{CRE} {CSM} {CWE}",7.2,<0> ,2.79,<0> ,1.5,<0> ,90.5,<0> ,10.9,<0> ,1.89,<0> ,1.81,<3> ,"",<-1> ,"","",7.2,<0> ,48,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 17:45,0,1,"{CRE} {CSM} {CWE}",7.2,<0> ,2.86,<0> ,1.5,<0> ,90.3,<0> ,10.8,<0> ,1.85,<0> ,1.77,<3> ,"",<-1> ,"","",7.2,<0> ,49,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 18:00,0,1,"{CRE} {CSM} {CWE}",7.2,<0> ,1.71,<0> ,0.9,<0> ,91.5,<0> ,11.0,<0> ,1.81,<0> ,1.72,<3> ,"",<-1> ,"","",7.2,<0> ,102,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 18:15,0,1,"{CRE} {CSM} {CWE}",7.2,<0> ,1.65,<0> ,0.8,<0> ,91.4,<0> ,11.0,<0> ,1.77,<0> ,1.69,<3> ,"",<-1> ,"","",7.2,<0> ,80,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 18:30,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,2.24,<0> ,1.2,<0> ,90.8,<0> ,10.9,<0> ,1.73,<0> ,1.65,<3> ,"",<-1> ,"","",7.2,<0> ,87,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 18:45,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,2.19,<0> ,1.1,<0> ,90.9,<0> ,10.9,<0> ,1.70,<0> ,1.62,<3> ,"",<-1> ,"","",7.2,<0> ,85,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 19:00,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,2.04,<0> ,1.0,<0> ,90.7,<0> ,10.9,<0> ,1.66,<0> ,1.58,<3> ,"",<-1> ,"","",7.2,<0> ,128,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 19:15,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,1.27,<0> ,0.6,<0> ,91.5,<0> ,11.0,<0> ,1.63,<0> ,1.55,<3> ,"",<-1> ,"","",7.2,<0> ,107,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 19:30,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,1.23,<0> ,0.6,<0> ,91.5,<0> ,11.0,<0> ,1.59,<0> ,1.51,<3> ,"",<-1> ,"","",7.2,<0> ,80,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 19:45,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,1.12,<0> ,0.6,<0> ,91.5,<0> ,11.1,<0> ,1.55,<0> ,1.47,<3> ,"",<-1> ,"","",7.2,<0> ,79,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 20:00,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,1.04,<0> ,0.5,<0> ,91.5,<0> ,11.1,<0> ,1.52,<0> ,1.44,<3> ,"",<-1> ,"","",7.2,<0> ,78,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 20:15,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,0.99,<0> ,0.5,<0> ,91.8,<0> ,11.1,<0> ,1.49,<0> ,1.41,<3> ,"",<-1> ,"","",7.2,<0> ,83,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 20:30,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,0.87,<0> ,0.4,<0> ,91.7,<0> ,11.1,<0> ,1.46,<0> ,1.38,<3> ,"",<-1> ,"","",7.2,<0> ,91,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 20:45,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,0.89,<0> ,0.4,<0> ,91.6,<0> ,11.1,<0> ,1.43,<0> ,1.35,<3> ,"",<-1> ,"","",7.2,<0> ,84,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 21:00,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,0.84,<0> ,0.4,<0> ,91.7,<0> ,11.1,<0> ,1.41,<0> ,1.33,<3> ,"",<-1> ,"","",7.2,<0> ,92,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 21:15,0,1,"{CRE} {CSM} {CWE}",7.1,<0> ,0.79,<0> ,0.4,<0> ,91.7,<0> ,11.1,<0> ,1.39,<0> ,1.31,<3> ,"",<-1> ,"","",7.2,<0> ,75,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 21:30,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.67,<0> ,0.3,<0> ,91.9,<0> ,11.1,<0> ,1.39,<0> ,1.31,<3> ,"",<-1> ,"","",7.2,<0> ,123,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 21:45,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.64,<0> ,0.3,<0> ,91.7,<0> ,11.1,<0> ,1.40,<0> ,1.33,<3> ,"",<-1> ,"","",7.2,<0> ,68,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 22:00,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.70,<0> ,0.3,<0> ,91.5,<0> ,11.1,<0> ,1.43,<0> ,1.36,<3> ,"",<-1> ,"","",7.2,<0> ,84,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 22:15,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.74,<0> ,0.4,<0> ,91.3,<0> ,11.1,<0> ,1.46,<0> ,1.39,<3> ,"",<-1> ,"","",7.2,<0> ,82,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 22:30,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.72,<0> ,0.4,<0> ,91.7,<0> ,11.1,<0> ,1.49,<0> ,1.42,<3> ,"",<-1> ,"","",7.2,<0> ,67,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 22:45,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.66,<0> ,0.3,<0> ,91.7,<0> ,11.1,<0> ,1.52,<0> ,1.45,<3> ,"",<-1> ,"","",7.2,<0> ,87,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 23:00,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.59,<0> ,0.3,<0> ,92.0,<0> ,11.2,<0> ,1.56,<0> ,1.50,<3> ,"",<-1> ,"","",7.2,<0> ,76,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 23:15,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.57,<0> ,0.3,<0> ,91.8,<0> ,11.2,<0> ,1.60,<0> ,1.54,<3> ,"",<-1> ,"","",7.2,<0> ,66,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 23:30,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.54,<0> ,0.3,<0> ,92.0,<0> ,11.2,<0> ,1.64,<0> ,1.58,<3> ,"",<-1> ,"","",7.2,<0> ,60,<0> ,"",<-1> ,
"cbvshwq   ","P",01/02/2017 23:45,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.50,<0> ,0.2,<0> ,92.0,<0> ,11.2,<0> ,1.68,<0> ,1.62,<3> ,"",<-1> ,"","",7.1,<0> ,59,<0> ,"",<-1> ,
"cbvshwq   ","P",01/03/2017 0:00,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.49,<0> ,0.2,<0> ,92.1,<0> ,11.2,<0> ,1.71,<0> ,1.65,<3> ,"",<-1> ,"","",7.2,<0> ,56,<0> ,"",<-1> ,
"cbvshwq   ","P",01/03/2017 0:15,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.51,<0> ,0.3,<0> ,92.0,<0> ,11.2,<0> ,1.75,<0> ,1.69,<3> ,"",<-1> ,"","",7.2,<0> ,65,<0> ,"",<-1> ,
"cbvshwq   ","P",01/03/2017 0:30,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.57,<0> ,0.3,<0> ,91.8,<0> ,11.2,<0> ,1.80,<0> ,1.74,<3> ,"",<-1> ,"","",7.2,<0> ,81,<0> ,"",<-1> ,
"cbvshwq   ","P",01/03/2017 0:45,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.62,<0> ,0.3,<0> ,91.9,<0> ,11.2,<0> ,1.85,<0> ,1.80,<3> ,"",<-1> ,"","",7.2,<0> ,96,<0> ,"",<-1> ,
"cbvshwq   ","P",01/03/2017 1:00,0,1,"{CRE} {CSM} {CWE}",6.9,<0> ,0.66,<0> ,0.3,<0> ,91.9,<0> ,11.2,<0> ,1.90,<0> ,1.85,<3> ,"",<-1> ,"","",7.2,<0> ,102,<0> ,"",<-1> ,
"cbvshwq   ","P",01/03/2017 1:15,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.73,<0> ,0.4,<0> ,91.8,<0> ,11.1,<0> ,1.95,<0> ,1.90,<3> ,"",<-1> ,"","",7.2,<0> ,104,<0> ,"",<-1> ,
"cbvshwq   ","P",01/03/2017 1:30,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.80,<0> ,0.4,<0> ,92.0,<0> ,11.2,<0> ,1.99,<0> ,1.95,<3> ,"",<-1> ,"","",7.2,<0> ,104,<0> ,"",<-1> ,
"cbvshwq   ","P",01/03/2017 1:45,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.87,<0> ,0.4,<0> ,91.7,<0> ,11.1,<0> ,2.03,<0> ,1.98,<3> ,"",<-1> ,"","",7.2,<0> ,103,<0> ,"",<-1> ,
"cbvshwq   ","P",01/03/2017 2:00,0,1,"{CRE} {CSM} {CWE}",7.0,<0> ,0.96,<0> ,0.5,<0> ,91.6,<0> ,11.1,<0> ,2.06,<0> ,2.01,<3> ,"",<-1> ,"","",7.2,<0> ,94,<0> ,"",<-1> ,
